hex_id,F1,F2,F3,F4,F5,class_km
881f0c9a5dfffff,1.622565985863815,-0.22381788090260704,-0.36604550697314125,-0.35301312044349636,-0.08587694198934437,0
881f2a7505fffff,0.011597006380116012,0.9808292397116414,-1.1173331387725087,0.6276099857726501,0.9967648060919587,0
881f2a6e53fffff,-0.31015747019913437,-0.10235024488113734,-1.048773812700249,-0.2219773939486577,-0.33336037126444656,0
881f2a6501fffff,-0.48069617738788434,0.0030706837545796495,-1.1358078699393155,-0.5054431935221692,0.6950268236379029,0
881f2a6651fffff,-0.12348023041641548,-0.18962446970407398,0.31149087349509086,-0.21688087520273217,-0.6180937718370744,0
881f2a74e3fffff,-0.30986184077550405,-0.13547942950075537,0.03337163380087769,-0.2932419631034712,-0.3235506644271008,0
881f2a6e31fffff,-0.3853793056339036,-0.7151450041362526,-0.9003103865304226,3.2273907133281945,1.4846912578259925,5
881f2a70d1fffff,-0.23505248355117664,-0.13636683545076503,-0.21851388724050208,-0.2667683105642392,-0.3575977976506181,0
881f2a60cdfffff,1.0248145090069765,1.7433849297796453,-0.7358895256443349,-0.13454007271106846,-0.9853838644479586,0
881f2a621dfffff,-0.08649572863098194,-0.1482946300226197,-0.7527621127914538,-0.17902739178392568,-0.5279870900128053,0
881f0c9b69fffff,-0.1467712897322877,-0.21237468667244322,-0.7915029074181819,-0.21600769727325952,-0.10809549603765611,0
881f0c9367fffff,0.6490807655573237,-0.2250211930525769,0.4700952782201945,-0.2855942904147743,-0.44617775537505594,3
881f2a7761fffff,-4.982644147445184,0.16568209521085434,-0.5425562968356362,-3.24408976383368,6.080789913171721,7
881f2a64bdfffff,-0.008696096677670365,0.13657676640811947,0.08419305195325665,-0.25906635884143664,0.4229491127491634,0
881f2a660dfffff,0.05352232845405786,-0.20302115146801142,-0.7467673382545638,-0.04959612912588244,-0.9337378331716274,0
881f2a675dfffff,-0.015428613304460798,-0.16902279267728015,-0.9869843534491841,-0.09703478750072017,-0.7381801600281771,0
881f2a60abfffff,-0.6847662678542057,-0.20351539178077052,0.218949559107036,0.47231129181434495,-1.6845121784593882,0
881f0c9b47fffff,0.29615985482784163,3.784593681667015,-0.710921455369141,-0.05253425189597668,-1.5417471788443358,6
881f0c9345fffff,3.7682865917508472,0.6038470789179051,-0.28122407646804054,4.533583478097971,-2.584464871543897,5
881f2a649bfffff,1.3240957383600906,-0.39205926287043247,0.010743732089667488,0.21077289589430329,-1.7059414023148858,0
881f2a65ebfffff,-0.5407057534921809,-0.1621687103669131,0.6366593939923864,-0.27687909783291614,-0.18006295635257905,3
881f2a708dfffff,-0.48805416274531876,-0.08115513446370189,-0.6677094262463092,-0.4005105414365931,0.15632172009911358,0
881f2a673bfffff,-0.3949983882112901,-0.18259805123962797,1.637597702643621,-0.5211586196277835,0.13882384368703035,3
